commodity,period,prices,region,season,timeslice,units_prices,year
res.refrigerators,Day,,UK,W,1,0,2010
res.lighting,Day,,UK,W,1,0,2010
res.other,Day,,UK,W,1,0,2010
res.wet.appliances,Day,,UK,W,1,0,2010
res.space-heat.existing-average,Day,,UK,W,1,0,2010
res.space-heat.new-average,Day,,UK,W,1,0,2010
res.hot-water.existing-average,Day,,UK,W,1,0,2010
res.hot-water.new-average,Day,,UK,W,1,0,2010
nga,Peak,,UK,W,2,12.552,2010
bog,Peak,,UK,W,2,10.019,2010
biomass,Peak,,UK,W,2,10.019,2010
elc,Peak,,UK,W,2,43.34267522,2010
oil,Peak,,UK,W,2,19.7944343,2010
hco,Peak,,UK,W,2,19.7944343,2010
lfo,Peak,,UK,W,2,19.7944343,2010
wood,Peak,,UK,W,2,10.019,2010
hydrogen,Peak,,UK,W,2,105.016835,2010
pellets,Peak,,UK,W,2,20.58703511,2010
solar,Peak,,UK,W,2,0.0,2010
ser.cooling.high-consumption,Peak,,UK,W,2,0,2010
ser.cooking,Peak,,UK,W,2,0,2010
ser.computing,Peak,,UK,W,2,0,2010
ser.space-heat.high-consumption,Peak,,UK,W,2,0,2010
ser.space-heat.low-consumption,Peak,,UK,W,2,0,2010
ser.lighting.office,Peak,,UK,W,2,0,2010
ser.lighting.other,Peak,,UK,W,2,0,2010
ser.other,Peak,,UK,W,2,0,2010
ser.refrigeration,Peak,,UK,W,2,0,2010
ser.hot-water.high-consumption,Peak,,UK,W,2,0,2010
ser.hot-water.low-consumption,Peak,,UK,W,2,0,2010
CO2f,Peak,,UK,W,2,0,2010
kerosene,Peak,,UK,W,2,18.21616657,2010
res.cooking.other,Peak,,UK,W,2,0,2010
res.cooking.hobs,Peak,,UK,W,2,0,2010
res.cooking.ovens,Peak,,UK,W,2,0,2010
res.consumer-electronics.tv,Peak,,UK,W,2,0,2010
res.freezers,Peak,,UK,W,2,0,2010
res.cooling,Peak,,UK,W,2,0,2010
res.computers,Peak,,UK,W,2,0,2010
res.refrigerators,Peak,,UK,W,2,0,2010
res.lighting,Peak,,UK,W,2,0,2010
res.other,Peak,,UK,W,2,0,2010
res.wet.appliances,Peak,,UK,W,2,0,2010
res.space-heat.existing-average,Peak,,UK,W,2,0,2010
res.space-heat.new-average,Peak,,UK,W,2,0,2010
res.hot-water.existing-average,Peak,,UK,W,2,0,2010
res.hot-water.new-average,Peak,,UK,W,2,0,2010
nga,Evening,,UK,W,3,12.552,2010
bog,Evening,,UK,W,3,10.019,2010
biomass,Evening,,UK,W,3,10.019,2010
elc,Evening,,UK,W,3,43.34267522,2010
oil,Evening,,UK,W,3,19.7944343,2010
hco,Evening,,UK,W,3,19.7944343,2010
lfo,Evening,,UK,W,3,19.7944343,2010
wood,Evening,,UK,W,3,10.019,2010
hydrogen,Evening,,UK,W,3,105.016835,2010
pellets,Evening,,UK,W,3,20.58703511,2010
solar,Evening,,UK,W,3,0.0,2010
ser.cooling.high-consumption,Evening,,UK,W,3,0,2010
ser.cooking,Evening,,UK,W,3,0,2010
ser.computing,Evening,,UK,W,3,0,2010
ser.space-heat.high-consumption,Evening,,UK,W,3,0,2010
ser.space-heat.low-consumption,Evening,,UK,W,3,0,2010
ser.lighting.office,Evening,,UK,W,3,0,2010
ser.lighting.other,Evening,,UK,W,3,0,2010
ser.other,Evening,,UK,W,3,0,2010
ser.refrigeration,Evening,,UK,W,3,0,2010
ser.hot-water.high-consumption,Evening,,UK,W,3,0,2010
ser.hot-water.low-consumption,Evening,,UK,W,3,0,2010
CO2f,Evening,,UK,W,3,0,2010
kerosene,Evening,,UK,W,3,18.21616657,2010
res.cooking.other,Evening,,UK,W,3,0,2010
res.cooking.hobs,Evening,,UK,W,3,0,2010
res.cooking.ovens,Evening,,UK,W,3,0,2010
res.consumer-electronics.tv,Evening,,UK,W,3,0,2010
res.freezers,Evening,,UK,W,3,0,2010
res.cooling,Evening,,UK,W,3,0,2010
res.computers,Evening,,UK,W,3,0,2010
res.refrigerators,Evening,,UK,W,3,0,2010
res.lighting,Evening,,UK,W,3,0,2010
res.other,Evening,,UK,W,3,0,2010
res.wet.appliances,Evening,,UK,W,3,0,2010
res.space-heat.existing-average,Evening,,UK,W,3,0,2010
res.space-heat.new-average,Evening,,UK,W,3,0,2010
res.hot-water.existing-average,Evening,,UK,W,3,0,2010
res.hot-water.new-average,Evening,,UK,W,3,0,2010
nga,Night,,UK,P,4,12.552,2010
bog,Night,,UK,P,4,10.019,2010
biomass,Night,,UK,P,4,10.019,2010
elc,Night,,UK,P,4,43.34267522,2010
oil,Night,,UK,P,4,19.7944343,2010
hco,Night,,UK,P,4,19.7944343,2010
lfo,Night,,UK,P,4,19.7944343,2010
wood,Night,,UK,P,4,10.019,2010
hydrogen,Night,,UK,P,4,105.016835,2010
pellets,Night,,UK,P,4,20.58703511,2010
solar,Night,,UK,P,4,0.0,2010
ser.cooling.high-consumption,Night,,UK,P,4,0,2010
ser.cooking,Night,,UK,P,4,0,2010
ser.computing,Night,,UK,P,4,0,2010
ser.space-heat.high-consumption,Night,,UK,P,4,0,2010
ser.space-heat.low-consumption,Night,,UK,P,4,0,2010
ser.lighting.office,Night,,UK,P,4,0,2010
ser.lighting.other,Night,,UK,P,4,0,2010
ser.other,Night,,UK,P,4,0,2010
ser.refrigeration,Night,,UK,P,4,0,2010
ser.hot-water.high-consumption,Night,,UK,P,4,0,2010
ser.hot-water.low-consumption,Night,,UK,P,4,0,2010
CO2f,Night,,UK,P,4,0,2010
kerosene,Night,,UK,P,4,18.21616657,2010
res.cooking.other,Night,,UK,P,4,0,2010
res.cooking.hobs,Night,,UK,P,4,0,2010
res.cooking.ovens,Night,,UK,P,4,0,2010
res.consumer-electronics.tv,Night,,UK,P,4,0,2010
res.freezers,Night,,UK,P,4,0,2010
res.cooling,Night,,UK,P,4,0,2010
res.computers,Night,,UK,P,4,0,2010
res.refrigerators,Night,,UK,P,4,0,2010
res.lighting,Night,,UK,P,4,0,2010
res.other,Night,,UK,P,4,0,2010
res.wet.appliances,Night,,UK,P,4,0,2010
res.space-heat.existing-average,Night,,UK,P,4,0,2010
res.space-heat.new-average,Night,,UK,P,4,0,2010
res.hot-water.existing-average,Night,,UK,P,4,0,2010
res.hot-water.new-average,Night,,UK,P,4,0,2010
nga,Day,,UK,P,5,12.552,2010
bog,Day,,UK,P,5,10.019,2010
biomass,Day,,UK,P,5,10.019,2010
elc,Day,,UK,P,5,43.34267522,2010
oil,Day,,UK,P,5,19.7944343,2010
hco,Day,,UK,P,5,19.7944343,2010
lfo,Day,,UK,P,5,19.7944343,2010
wood,Day,,UK,P,5,10.019,2010
hydrogen,Day,,UK,P,5,105.016835,2010
pellets,Day,,UK,P,5,20.58703511,2010
solar,Day,,UK,P,5,0.0,2010
ser.cooling.high-consumption,Day,,UK,P,5,0,2010
ser.cooking,Day,,UK,P,5,0,2010
ser.computing,Day,,UK,P,5,0,2010
ser.space-heat.high-consumption,Day,,UK,P,5,0,2010
ser.space-heat.low-consumption,Day,,UK,P,5,0,2010
ser.lighting.office,Day,,UK,P,5,0,2010
ser.lighting.other,Day,,UK,P,5,0,2010
ser.other,Day,,UK,P,5,0,2010
ser.refrigeration,Day,,UK,P,5,0,2010
ser.hot-water.high-consumption,Day,,UK,P,5,0,2010
ser.hot-water.low-consumption,Day,,UK,P,5,0,2010
CO2f,Day,,UK,P,5,0,2010
kerosene,Day,,UK,P,5,18.21616657,2010
res.cooking.other,Day,,UK,P,5,0,2010
res.cooking.hobs,Day,,UK,P,5,0,2010
res.cooking.ovens,Day,,UK,P,5,0,2010
res.consumer-electronics.tv,Day,,UK,P,5,0,2010
res.freezers,Day,,UK,P,5,0,2010
res.cooling,Day,,UK,P,5,0,2010
res.computers,Day,,UK,P,5,0,2010
res.refrigerators,Day,,UK,P,5,0,2010
res.lighting,Day,,UK,P,5,0,2010
res.other,Day,,UK,P,5,0,2010
res.wet.appliances,Day,,UK,P,5,0,2010
res.space-heat.existing-average,Day,,UK,P,5,0,2010
res.space-heat.new-average,Day,,UK,P,5,0,2010
res.hot-water.existing-average,Day,,UK,P,5,0,2010
res.hot-water.new-average,Day,,UK,P,5,0,2010
nga,Peak,,UK,P,6,12.552,2010
bog,Peak,,UK,P,6,10.019,2010
biomass,Peak,,UK,P,6,10.019,2010
elc,Peak,,UK,P,6,43.34267522,2010
oil,Peak,,UK,P,6,19.7944343,2010
hco,Peak,,UK,P,6,19.7944343,2010
lfo,Peak,,UK,P,6,19.7944343,2010
wood,Peak,,UK,P,6,10.019,2010
hydrogen,Peak,,UK,P,6,105.016835,2010
pellets,Peak,,UK,P,6,20.58703511,2010
solar,Peak,,UK,P,6,0.0,2010
ser.cooling.high-consumption,Peak,,UK,P,6,0,2010
ser.cooking,Peak,,UK,P,6,0,2010
ser.computing,Peak,,UK,P,6,0,2010
ser.space-heat.high-consumption,Peak,,UK,P,6,0,2010
ser.space-heat.low-consumption,Peak,,UK,P,6,0,2010
ser.lighting.office,Peak,,UK,P,6,0,2010
ser.lighting.other,Peak,,UK,P,6,0,2010
ser.other,Peak,,UK,P,6,0,2010
ser.refrigeration,Peak,,UK,P,6,0,2010
ser.hot-water.high-consumption,Peak,,UK,P,6,0,2010
ser.hot-water.low-consumption,Peak,,UK,P,6,0,2010
CO2f,Peak,,UK,P,6,0,2010
kerosene,Peak,,UK,P,6,18.21616657,2010
res.cooking.other,Peak,,UK,P,6,0,2010
res.cooking.hobs,Peak,,UK,P,6,0,2010
res.cooking.ovens,Peak,,UK,P,6,0,2010
res.consumer-electronics.tv,Peak,,UK,P,6,0,2010
res.freezers,Peak,,UK,P,6,0,2010
res.cooling,Peak,,UK,P,6,0,2010
res.computers,Peak,,UK,P,6,0,2010
res.refrigerators,Peak,,UK,P,6,0,2010
res.lighting,Peak,,UK,P,6,0,2010
res.other,Peak,,UK,P,6,0,2010
res.wet.appliances,Peak,,UK,P,6,0,2010
res.space-heat.existing-average,Peak,,UK,P,6,0,2010
res.space-heat.new-average,Peak,,UK,P,6,0,2010
res.hot-water.existing-average,Peak,,UK,P,6,0,2010
res.hot-water.new-average,Peak,,UK,P,6,0,2010
nga,Evening,,UK,P,7,12.552,2010
bog,Evening,,UK,P,7,10.019,2010
biomass,Evening,,UK,P,7,10.019,2010
elc,Evening,,UK,P,7,43.34267522,2010
oil,Evening,,UK,P,7,19.7944343,2010
hco,Evening,,UK,P,7,19.7944343,2010
lfo,Evening,,UK,P,7,19.7944343,2010
wood,Evening,,UK,P,7,10.019,2010
hydrogen,Evening,,UK,P,7,105.016835,2010
pellets,Evening,,UK,P,7,20.58703511,2010
solar,Evening,,UK,P,7,0.0,2010
ser.cooling.high-consumption,Evening,,UK,P,7,0,2010
ser.cooking,Evening,,UK,P,7,0,2010
ser.computing,Evening,,UK,P,7,0,2010
ser.space-heat.high-consumption,Evening,,UK,P,7,0,2010
ser.space-heat.low-consumption,Evening,,UK,P,7,0,2010
ser.lighting.office,Evening,,UK,P,7,0,2010
ser.lighting.other,Evening,,UK,P,7,0,2010
ser.other,Evening,,UK,P,7,0,2010
ser.refrigeration,Evening,,UK,P,7,0,2010
ser.hot-water.high-consumption,Evening,,UK,P,7,0,2010
ser.hot-water.low-consumption,Evening,,UK,P,7,0,2010
CO2f,Evening,,UK,P,7,0,2010
kerosene,Evening,,UK,P,7,18.21616657,2010
res.cooking.other,Evening,,UK,P,7,0,2010
res.cooking.hobs,Evening,,UK,P,7,0,2010
res.cooking.ovens,Evening,,UK,P,7,0,2010
res.consumer-electronics.tv,Evening,,UK,P,7,0,2010
res.freezers,Evening,,UK,P,7,0,2010
res.cooling,Evening,,UK,P,7,0,2010
res.computers,Evening,,UK,P,7,0,2010
res.refrigerators,Evening,,UK,P,7,0,2010
res.lighting,Evening,,UK,P,7,0,2010
res.other,Evening,,UK,P,7,0,2010
res.wet.appliances,Evening,,UK,P,7,0,2010
res.space-heat.existing-average,Evening,,UK,P,7,0,2010
res.space-heat.new-average,Evening,,UK,P,7,0,2010
res.hot-water.existing-average,Evening,,UK,P,7,0,2010
res.hot-water.new-average,Evening,,UK,P,7,0,2010
nga,Night,,UK,S,8,12.552,2010
bog,Night,,UK,S,8,10.019,2010
biomass,Night,,UK,S,8,10.019,2010
elc,Night,,UK,S,8,43.34267522,2010
oil,Night,,UK,S,8,19.7944343,2010
hco,Night,,UK,S,8,19.7944343,2010
lfo,Night,,UK,S,8,19.7944343,2010
wood,Night,,UK,S,8,10.019,2010
hydrogen,Night,,UK,S,8,105.016835,2010
pellets,Night,,UK,S,8,20.58703511,2010
solar,Night,,UK,S,8,0.0,2010
ser.cooling.high-consumption,Night,,UK,S,8,0,2010
ser.cooking,Night,,UK,S,8,0,2010
ser.computing,Night,,UK,S,8,0,2010
ser.space-heat.high-consumption,Night,,UK,S,8,0,2010
ser.space-heat.low-consumption,Night,,UK,S,8,0,2010
ser.lighting.office,Night,,UK,S,8,0,2010
ser.lighting.other,Night,,UK,S,8,0,2010
ser.other,Night,,UK,S,8,0,2010
ser.refrigeration,Night,,UK,S,8,0,2010
ser.hot-water.high-consumption,Night,,UK,S,8,0,2010
ser.hot-water.low-consumption,Night,,UK,S,8,0,2010
CO2f,Night,,UK,S,8,0,2010
kerosene,Night,,UK,S,8,18.21616657,2010
res.cooking.other,Night,,UK,S,8,0,2010
res.cooking.hobs,Night,,UK,S,8,0,2010
res.cooking.ovens,Night,,UK,S,8,0,2010
res.consumer-electronics.tv,Night,,UK,S,8,0,2010
res.freezers,Night,,UK,S,8,0,2010
res.cooling,Night,,UK,S,8,0,2010
res.computers,Night,,UK,S,8,0,2010
res.refrigerators,Night,,UK,S,8,0,2010
res.lighting,Night,,UK,S,8,0,2010
res.other,Night,,UK,S,8,0,2010
res.wet.appliances,Night,,UK,S,8,0,2010
res.space-heat.existing-average,Night,,UK,S,8,0,2010
res.space-heat.new-average,Night,,UK,S,8,0,2010
res.hot-water.existing-average,Night,,UK,S,8,0,2010
res.hot-water.new-average,Night,,UK,S,8,0,2010
nga,Day,,UK,S,9,12.552,2010
bog,Day,,UK,S,9,10.019,2010
biomass,Day,,UK,S,9,10.019,2010
elc,Day,,UK,S,9,43.34267522,2010
oil,Day,,UK,S,9,19.7944343,2010
hco,Day,,UK,S,9,19.7944343,2010
lfo,Day,,UK,S,9,19.7944343,2010
wood,Day,,UK,S,9,10.019,2010
hydrogen,Day,,UK,S,9,105.016835,2010
pellets,Day,,UK,S,9,20.58703511,2010
solar,Day,,UK,S,9,0.0,2010
ser.cooling.high-consumption,Day,,UK,S,9,0,2010
ser.cooking,Day,,UK,S,9,0,2010
ser.computing,Day,,UK,S,9,0,2010
ser.space-heat.high-consumption,Day,,UK,S,9,0,2010
ser.space-heat.low-consumption,Day,,UK,S,9,0,2010
ser.lighting.office,Day,,UK,S,9,0,2010
ser.lighting.other,Day,,UK,S,9,0,2010
ser.other,Day,,UK,S,9,0,2010
ser.refrigeration,Day,,UK,S,9,0,2010
ser.hot-water.high-consumption,Day,,UK,S,9,0,2010
ser.hot-water.low-consumption,Day,,UK,S,9,0,2010
CO2f,Day,,UK,S,9,0,2010
kerosene,Day,,UK,S,9,18.21616657,2010
res.cooking.other,Day,,UK,S,9,0,2010
res.cooking.hobs,Day,,UK,S,9,0,2010
res.cooking.ovens,Day,,UK,S,9,0,2010
res.consumer-electronics.tv,Day,,UK,S,9,0,2010
res.freezers,Day,,UK,S,9,0,2010
res.cooling,Day,,UK,S,9,0,2010
res.computers,Day,,UK,S,9,0,2010
res.refrigerators,Day,,UK,S,9,0,2010
res.lighting,Day,,UK,S,9,0,2010
res.other,Day,,UK,S,9,0,2010
res.wet.appliances,Day,,UK,S,9,0,2010
res.space-heat.existing-average,Day,,UK,S,9,0,2010
res.space-heat.new-average,Day,,UK,S,9,0,2010
res.hot-water.existing-average,Day,,UK,S,9,0,2010
res.hot-water.new-average,Day,,UK,S,9,0,2010
nga,Peak,,UK,S,10,12.552,2010
bog,Peak,,UK,S,10,10.019,2010
biomass,Peak,,UK,S,10,10.019,2010
elc,Peak,,UK,S,10,43.34267522,2010
oil,Peak,,UK,S,10,19.7944343,2010
hco,Peak,,UK,S,10,19.7944343,2010
lfo,Peak,,UK,S,10,19.7944343,2010
wood,Peak,,UK,S,10,10.019,2010
hydrogen,Peak,,UK,S,10,105.016835,2010
pellets,Peak,,UK,S,10,20.58703511,2010
solar,Peak,,UK,S,10,0.0,2010
ser.cooling.high-consumption,Peak,,UK,S,10,0,2010
ser.cooking,Peak,,UK,S,10,0,2010
ser.computing,Peak,,UK,S,10,0,2010
ser.space-heat.high-consumption,Peak,,UK,S,10,0,2010
ser.space-heat.low-consumption,Peak,,UK,S,10,0,2010
ser.lighting.office,Peak,,UK,S,10,0,2010
ser.lighting.other,Peak,,UK,S,10,0,2010
ser.other,Peak,,UK,S,10,0,2010
ser.refrigeration,Peak,,UK,S,10,0,2010
ser.hot-water.high-consumption,Peak,,UK,S,10,0,2010
ser.hot-water.low-consumption,Peak,,UK,S,10,0,2010
CO2f,Peak,,UK,S,10,0,2010
kerosene,Peak,,UK,S,10,18.21616657,2010
res.cooking.other,Peak,,UK,S,10,0,2010
res.cooking.hobs,Peak,,UK,S,10,0,2010
res.cooking.ovens,Peak,,UK,S,10,0,2010
res.consumer-electronics.tv,Peak,,UK,S,10,0,2010
res.freezers,Peak,,UK,S,10,0,2010
res.cooling,Peak,,UK,S,10,0,2010
res.computers,Peak,,UK,S,10,0,2010
res.refrigerators,Peak,,UK,S,10,0,2010
res.lighting,Peak,,UK,S,10,0,2010
res.other,Peak,,UK,S,10,0,2010
res.wet.appliances,Peak,,UK,S,10,0,2010
res.space-heat.existing-average,Peak,,UK,S,10,0,2010
res.space-heat.new-average,Peak,,UK,S,10,0,2010
res.hot-water.existing-average,Peak,,UK,S,10,0,2010
res.hot-water.new-average,Peak,,UK,S,10,0,2010
nga,Evening,,UK,S,11,12.552,2010
bog,Evening,,UK,S,11,10.019,2010
biomass,Evening,,UK,S,11,10.019,2010
elc,Evening,,UK,S,11,43.34267522,2010
oil,Evening,,UK,S,11,19.7944343,2010
hco,Evening,,UK,S,11,19.7944343,2010
lfo,Evening,,UK,S,11,19.7944343,2010
wood,Evening,,UK,S,11,10.019,2010
hydrogen,Evening,,UK,S,11,105.016835,2010
pellets,Evening,,UK,S,11,20.58703511,2010
solar,Evening,,UK,S,11,0.0,2010
ser.cooling.high-consumption,Evening,,UK,S,11,0,2010
ser.cooking,Evening,,UK,S,11,0,2010
ser.computing,Evening,,UK,S,11,0,2010
ser.space-heat.high-consumption,Evening,,UK,S,11,0,2010
ser.space-heat.low-consumption,Evening,,UK,S,11,0,2010
ser.lighting.office,Evening,,UK,S,11,0,2010
ser.lighting.other,Evening,,UK,S,11,0,2010
ser.other,Evening,,UK,S,11,0,2010
ser.refrigeration,Evening,,UK,S,11,0,2010
ser.hot-water.high-consumption,Evening,,UK,S,11,0,2010
ser.hot-water.low-consumption,Evening,,UK,S,11,0,2010
CO2f,Evening,,UK,S,11,0,2010
kerosene,Evening,,UK,S,11,18.21616657,2010
res.cooking.other,Evening,,UK,S,11,0,2010
res.cooking.hobs,Evening,,UK,S,11,0,2010
res.cooking.ovens,Evening,,UK,S,11,0,2010
res.consumer-electronics.tv,Evening,,UK,S,11,0,2010
res.freezers,Evening,,UK,S,11,0,2010
res.cooling,Evening,,UK,S,11,0,2010
res.computers,Evening,,UK,S,11,0,2010
res.refrigerators,Evening,,UK,S,11,0,2010
res.lighting,Evening,,UK,S,11,0,2010
res.other,Evening,,UK,S,11,0,2010
res.wet.appliances,Evening,,UK,S,11,0,2010
res.space-heat.existing-average,Evening,,UK,S,11,0,2010
res.space-heat.new-average,Evening,,UK,S,11,0,2010
res.hot-water.existing-average,Evening,,UK,S,11,0,2010
res.hot-water.new-average,Evening,,UK,S,11,0,2010
nga,Night,,UK,A,12,12.552,2010
bog,Night,,UK,A,12,10.019,2010
biomass,Night,,UK,A,12,10.019,2010
elc,Night,,UK,A,12,43.34267522,2010
oil,Night,,UK,A,12,19.7944343,2010
hco,Night,,UK,A,12,19.7944343,2010
lfo,Night,,UK,A,12,19.7944343,2010
wood,Night,,UK,A,12,10.019,2010
hydrogen,Night,,UK,A,12,105.016835,2010
pellets,Night,,UK,A,12,20.58703511,2010
solar,Night,,UK,A,12,0.0,2010
ser.cooling.high-consumption,Night,,UK,A,12,0,2010
ser.cooking,Night,,UK,A,12,0,2010
ser.computing,Night,,UK,A,12,0,2010
ser.space-heat.high-consumption,Night,,UK,A,12,0,2010
ser.space-heat.low-consumption,Night,,UK,A,12,0,2010
ser.lighting.office,Night,,UK,A,12,0,2010
ser.lighting.other,Night,,UK,A,12,0,2010
ser.other,Night,,UK,A,12,0,2010
ser.refrigeration,Night,,UK,A,12,0,2010
ser.hot-water.high-consumption,Night,,UK,A,12,0,2010
ser.hot-water.low-consumption,Night,,UK,A,12,0,2010
CO2f,Night,,UK,A,12,0,2010
kerosene,Night,,UK,A,12,18.21616657,2010
res.cooking.other,Night,,UK,A,12,0,2010
res.cooking.hobs,Night,,UK,A,12,0,2010
res.cooking.ovens,Night,,UK,A,12,0,2010
res.consumer-electronics.tv,Night,,UK,A,12,0,2010
res.freezers,Night,,UK,A,12,0,2010
res.cooling,Night,,UK,A,12,0,2010
res.computers,Night,,UK,A,12,0,2010
res.refrigerators,Night,,UK,A,12,0,2010
res.lighting,Night,,UK,A,12,0,2010
res.other,Night,,UK,A,12,0,2010
res.wet.appliances,Night,,UK,A,12,0,2010
res.space-heat.existing-average,Night,,UK,A,12,0,2010
res.space-heat.new-average,Night,,UK,A,12,0,2010
res.hot-water.existing-average,Night,,UK,A,12,0,2010
res.hot-water.new-average,Night,,UK,A,12,0,2010
nga,Day,,UK,A,13,12.552,2010
bog,Day,,UK,A,13,10.019,2010
biomass,Day,,UK,A,13,10.019,2010
elc,Day,,UK,A,13,43.34267522,2010
oil,Day,,UK,A,13,19.7944343,2010
hco,Day,,UK,A,13,19.7944343,2010
lfo,Day,,UK,A,13,19.7944343,2010
wood,Day,,UK,A,13,10.019,2010
hydrogen,Day,,UK,A,13,105.016835,2010
pellets,Day,,UK,A,13,20.58703511,2010
solar,Day,,UK,A,13,0.0,2010
ser.cooling.high-consumption,Day,,UK,A,13,0,2010
ser.cooking,Day,,UK,A,13,0,2010
ser.computing,Day,,UK,A,13,0,2010
ser.space-heat.high-consumption,Day,,UK,A,13,0,2010
ser.space-heat.low-consumption,Day,,UK,A,13,0,2010
ser.lighting.office,Day,,UK,A,13,0,2010
ser.lighting.other,Day,,UK,A,13,0,2010
ser.other,Day,,UK,A,13,0,2010
ser.refrigeration,Day,,UK,A,13,0,2010
ser.hot-water.high-consumption,Day,,UK,A,13,0,2010
ser.hot-water.low-consumption,Day,,UK,A,13,0,2010
CO2f,Day,,UK,A,13,0,2010
kerosene,Day,,UK,A,13,18.21616657,2010
res.cooking.other,Day,,UK,A,13,0,2010
res.cooking.hobs,Day,,UK,A,13,0,2010
res.cooking.ovens,Day,,UK,A,13,0,2010
res.consumer-electronics.tv,Day,,UK,A,13,0,2010
res.freezers,Day,,UK,A,13,0,2010
res.cooling,Day,,UK,A,13,0,2010
res.computers,Day,,UK,A,13,0,2010
res.refrigerators,Day,,UK,A,13,0,2010
res.lighting,Day,,UK,A,13,0,2010
res.other,Day,,UK,A,13,0,2010
res.wet.appliances,Day,,UK,A,13,0,2010
res.space-heat.existing-average,Day,,UK,A,13,0,2010
res.space-heat.new-average,Day,,UK,A,13,0,2010
res.hot-water.existing-average,Day,,UK,A,13,0,2010
res.hot-water.new-average,Day,,UK,A,13,0,2010
nga,Peak,,UK,A,14,12.552,2010
bog,Peak,,UK,A,14,10.019,2010
biomass,Peak,,UK,A,14,10.019,2010
elc,Peak,,UK,A,14,43.34267522,2010
oil,Peak,,UK,A,14,19.7944343,2010
hco,Peak,,UK,A,14,19.7944343,2010
lfo,Peak,,UK,A,14,19.7944343,2010
wood,Peak,,UK,A,14,10.019,2010
hydrogen,Peak,,UK,A,14,105.016835,2010
pellets,Peak,,UK,A,14,20.58703511,2010
solar,Peak,,UK,A,14,0.0,2010
ser.cooling.high-consumption,Peak,,UK,A,14,0,2010
ser.cooking,Peak,,UK,A,14,0,2010
ser.computing,Peak,,UK,A,14,0,2010
